req	id	src_section	src_lines	kind	actor	condition	obligation	exceptions	dest	a1_dest	disposition	multi_actor	tag	note	text
REQ-011	S1-050	Introduction	104	keyword-free	Editor	-	Non-goals: no workflow engine, approval policy language, ticketing system, catalog, UI, or approver inbox is defined	Approver-facing surface is intentionally not interoperable by design	1	1	stay	no	non-normative	Plan Introduction row keeps the non-goals paragraph in 1	This specification intentionally does not define a workflow engine, approval policy language, ticketing system, entitlement catalog, user interface, or approver-facing inbox or enumeration API. ... how an approver discovers and acts on pending requests is intentionally out of scope ...
REQ-012	S1-051	Introduction	106	keyword-free	Editor	-	Defines the boundary against partial evaluation: this profile resolves missing authority, not missing information	The two mechanisms are orthogonal and can be used together	B	B	move	no	non-normative	Plan Introduction row sends the partial-evaluation paragraph to Appendix B. It is a scope definition, so a pointer may be wanted in 1; second reader	This profile resolves missing authority, not missing information.  A denied evaluation that could be completed with attributes or context the caller already holds is a matter of supplying those inputs; partial evaluation ... addresses that case. ... The two mechanisms are orthogonal and can be used together.
REQ-013	S1-052	Requirements Notation and Conventions	110	keyword-free	Editor	-	BCP 14 boilerplate directive supplying the RFC 2119 and RFC 8174 keyword definitions	-	2	2	stay	no	definition	kramdown-rfc directive; must move verbatim and must precede every keyword-bearing unit in the document	{::boilerplate bcp14-tagged}
REQ-014	S1-053	Requirements Notation and Conventions	112	keyword-free	Definition	-	PDP, PEP, Subject, Resource, Action, Context, and Decision are used as defined by {{AuthZEN}}	-	2	2	stay	no	definition	Term-import statement; the six profile terms in Terminology build on it	The terms Policy Decision Point (PDP), Policy Enforcement Point (PEP), Subject, Resource, Action, Context, and Decision are used as defined by {{AuthZEN}}.
REQ-015	S1-054	Design Goals	116-127	keyword-free	Editor	-	Lead-in plus ten design goals for the profile	-	B	B	stay	no	non-normative	Plan Design Goals row sends the section to Appendix B. Ten bullets plus lead-in move as a block; the stateless-model goal at 119 has its own row (S1-055) because the plan gives it a second destination	This profile has the following design goals: * Preserve the allow/deny decision model. * Preserve the stateless evaluation model ... (ten bullets, 118-127)
REQ-016	S1-055	Design Goals	119	keyword-free	Definition	-	Stateless evaluation model: durable request, approval, and denial-binding state lives in the Access Request Service, not the PDP	-	B	B	stay	no	definition	Plan Design Goals row: also quoted in 4. Content mirrors the first sentence of 263 (S1-024); cross-reference rather than consolidate, since 263 carries a PDP MUST NOT that this goal does not	* Preserve the AuthZEN Authorization API's stateless evaluation model: the PDP retains no decision state between the denial and the re-evaluation, and the durable request and approval state, including any denial-binding record, lives in the Access Request Service role, not the PDP ({{requestable-denial-context}} defines how that record is carried).
REQ-017	S1-056	Terminology	131-132	keyword-free	Definition	-	Access Request: a request submitted after a denied decision asking that access be approved, granted, or remediated	-	3	3	stay	no	definition	One of the six terms the plan moves whole	Access Request: : A request submitted after a denied AuthZEN Authorization API decision asking that access be approved, granted, or otherwise remediated.
REQ-018	S1-001	Terminology	134-137	keyword	Definition	-	The Access Request Service role MAY be played by the PDP, a trusted service, or an independent delegated service	-	3	3	stay	no	definition	src_lines corrected from 134-135: line 137 is a continuation paragraph of the same definition-list entry (six terms whole, plan Terminology row); the two paragraphs are one unit	Access Request Service: : A role that receives Access Request submissions and manages the resulting approval task. This role MAY be played by the PDP itself (logically part of the PDP), by a service trusted by the PDP (such as a governance platform), or by an independent service operating with delegated authority from the PDP.
REQ-019	S1-057	Terminology	139-140	keyword-free	Definition	-	Requestable Denial: a Decision with `decision` false and a Decision Context indicating the access can be requested	-	3	3	stay	no	definition	One of the six terms the plan moves whole	Requestable Denial: : An AuthZEN Authorization API Decision with `decision` set to `false` and a Decision Context indicating that the denied access can be requested through an Access Request Endpoint.
REQ-020	S1-058	Terminology	142-143	keyword-free	Definition	-	Task Handle: an opaque identifier and associated status endpoint representing the lifecycle of an Access Request	-	3	3	stay	no	definition	One of the six terms the plan moves whole	Task Handle: : An opaque identifier and associated status endpoint representing the lifecycle of an Access Request.
REQ-021	S1-059	Terminology	145-146	keyword-free	Definition	-	Approval Result: the completed result of a task; it does not itself permit access	Unless a profile-defined completion mode applies	3	3	stay	no	definition	One of the six terms the plan moves whole. The 'does not itself permit access' clause is the non-normative sibling of 188 and 1155; not a consolidation candidate (definition, no keyword)	Approval Result: : The completed result of an Access Request task.  An Approval Result does not itself permit access; the PEP uses it to obtain an AuthZEN Authorization API allow decision through a new Access Evaluation, or enforces it according to a profile-defined completion mode where one applies.
REQ-022	S1-002	Terminology	148-156	keyword	PDP	A `context` member is treated as authorization input	PDP SHOULD exclude volatile members and MUST make any authorization-relevant member explicit and integrity-protected	Profile machinery members (access_request, evaluation_id, evaluated_at, reason) are never authorization-relevant	3	3	stay	yes	definition	src_lines corrected from 148-149 to the whole unit 148-156 per brief; nested bullets 153-154 and the empty-set default at 156 travel with it, so they get no separate rows	Authorization-Relevant Context: : The subset of AuthZEN Authorization API `context` members that the PDP treats as authorization input and includes in denial binding and approval scope. Profile machinery members (`access_request`, `evaluation_id`, `evaluated_at`, and `reason`) are not authorization-relevant, and a PDP SHOULD also exclude volatile members (timestamps, nonces, or request identifiers such as `context.time`) so the set compares equal across the denial and a later submission or re-evaluation.
REQ-023	S1-003	Terminology	148-156	keyword	ARS	Denial binding, approval-scope matching, or idempotent-submission comparison	Access Request Service MUST use exactly the PDP's integrity-protected or server-resolved authorization-relevant Context set	Absent such a set the authorization-relevant Context is empty and only Subject, Resource, Action bind (156)	3	3	stay	yes	definition	Same unit as S1-002, second actor; src_lines corrected from 151 to 148-156	Denial binding, approval-scope matching, and idempotent-submission comparison all compare this set, so when any member is authorization-relevant the PDP MUST make it explicit and integrity-protected, and the Access Request Service MUST use exactly that set:
REQ-024	S1-060	Protocol Overview	160-186	keyword-free	Editor	-	ASCII-art sequence diagram of the six-step flow across PEP, PDP, and Access Request Service	-	1	1	stay	no	non-normative	Plan Protocol Overview row: the diagram goes to 1 and sits beside the six-step list, which PR A2 then removes	~~~ ascii-art ... PEP / PDP / Access Request Service sequence diagram, steps 1-6 ... ~~~
REQ-025	S1-004	Protocol Overview	188	keyword	PEP	A denial carries `context.access_request`	PEP MUST NOT permit the requested operation based only on the presence of `context.access_request`	-	1	1	stay	no	encounter-rule	Plan Section 6 consolidation candidate with 1155 REJECTED under the Section 5 same-condition test: 188 is conditioned on 'only the presence', 1155 is unconditional. Both land in Section 1 (1155's subsection moves there under rule 5), so the merge question is local; second reader decides. Note a MUST NOT then sits outside the reading guide's stated core range 3-10	The access evaluation in step 1 uses the existing AuthZEN Access Evaluation API. The denial in step 2 is still a denial. The PEP MUST NOT permit the requested operation based only on the presence of `context.access_request`. Step 6 is a new AuthZEN Authorization API evaluation against the PDP so the PDP remains authoritative at enforcement time.
REQ-026	S1-061	Protocol Overview	190	keyword-free	Definition	-	Portability of the Task Handle: it survives PEP restart, replacement, or handoff and can be polled by any authorized caller	This profile does not define the orchestration that pauses and resumes execution	18	18	move	no	feature	Plan Protocol Overview row sends the portability paragraph to 18. Keyword-free, so the script did not pre-populate it - added here	The flow supports execution continuity across the denial, approval, and re-evaluation boundary.  The Task Handle returned in step 4 is portable: it survives PEP restart, replacement, or handoff to a different runtime instance, and it can be polled or completed by any caller that can authenticate as authorized for the bound Subject, Resource, Action, and operation (see {{task-status-endpoint}} and {{authorization-and-authentication}}). ...
REQ-027	S1-005	Protocol Overview	192	keyword	ARS	-	Access Request Service MAY publish lifecycle events through deployment-level event subscriptions defined by companion specifications	Such channels are independent of the per-task callback and are not used for enforcement	16	16	move	no	feature	Plan Protocol Overview row sends 192 to 16	The Access Request Service MAY additionally publish lifecycle events for governance, audit, and analytics consumers through deployment-level event subscriptions defined by companion specifications. Such channels are independent of the per-task callback and are not used for enforcement.
REQ-028	S1-006	Discovery	196	keyword	PDP	PDP supports this profile	PDP MUST publish an `access_request_endpoint` in PDP metadata; the value MUST be an HTTPS URI	-	4	4	stay	no	core	-	A PDP supporting this profile MUST publish an `access_request_endpoint` in PDP metadata. The endpoint value MUST be an HTTPS URI.
REQ-029	S1-007	Discovery	198	keyword	PDP	PDP supports this profile	PDP SHOULD include `urn:openid:authzen:capability:access-request` in the `capabilities` array	-	4	4	stay	no	core	The URN literal at 200 is the body of this unit and travels with it; no separate fragment row	A PDP supporting this profile SHOULD include the following capability URN in the `capabilities` array:
REQ-030	S1-008	Discovery	202	keyword	PDP	PDP issues or verifies signed `binding_token` or `approval.state` values	PDP MUST publish a `jwks_uri` in PDP metadata pointing at a JWK Set of the verification keys	-	4	4	stay	no	core	Anchors both signed artifacts; plan Section 2 cause 2 names this line as the key-discovery hub	A PDP that issues or verifies signed values for use under this profile (for example, a JWS-signed `binding_token` or a JWS `approval.state`) MUST publish a `jwks_uri` in PDP metadata. The value is an HTTPS URI of a JWK Set {{RFC7517}} document containing the verification keys for the signed artifacts this profile defines: PDP-issued `binding_token` values and `approval.state` values signed by the PDP's Access Request Service. Keys are distinguished by their `kid` and by the JWS `iss`.
REQ-031	S1-009	Discovery	204	keyword	PDP	A JWK Set is published for this profile	Each JWK SHOULD include a `kid` and SHOULD include a `use` parameter distinguishing signing keys	-	4	4	stay	no	core	-	Each JWK in the set SHOULD include a `kid` parameter so JWS signatures issued with a `kid` header can be resolved to the corresponding verification key, and SHOULD include a `use` parameter distinguishing signing keys (`use: "sig"`) from any other keys advertised.
REQ-032	S1-010	Discovery	206	keyword	Verifier	An unrecognized `kid` is encountered	Verifier SHOULD refresh the JWK Set before rejecting the input	-	4	4	stay	no	core	First sentence (cache per HTTP cache headers, refresh on rotation) is keyword-free and travels with the unit	Verifiers cache the JWK Set per HTTP cache headers and refresh it on key-rotation events. An unrecognized `kid` SHOULD cause the verifier to refresh the JWK Set before rejecting the input.
REQ-033	S1-062	Discovery	208-221	keyword-free	Editor	-	Non-normative PDP metadata example showing `access_request_endpoint`, `jwks_uri`, and the capability URN	-	4	4	stay	no	non-normative	Example is consistent with 196, 198, and 202. Lead-in at 208 travels with the JSON block as one unit	The following is a non-normative metadata example: ~~~ json { policy_decision_point, access_evaluation_endpoint, access_evaluations_endpoint, access_request_endpoint, jwks_uri, capabilities: [urn:openid:authzen:capability:access-request] } ~~~
REQ-034	S1-011	Discovery	223	keyword	PDP	`access_request_endpoint` is hosted by a service other than the PDP	PDP metadata MUST identify the endpoint actually used by the PEP to submit access requests	-	4	4	stay	no	core	-	The `access_request_endpoint` MAY be hosted by the PDP itself, by a service trusted by the PDP, or by an independent service operating with delegated authority from the PDP. When hosted by a different service, the PDP metadata MUST identify the endpoint actually used by the PEP to submit access requests.
REQ-035	S1-012	Requestable Denial Context	227	keyword	PDP	Evaluation denies access and the denial is eligible for an access request	PDP MAY include an `access_request` object in the Decision Context	-	5	5	stay	no	core	Eligibility rule, brief-flagged; pairs with S1-013 and with the MUST NOT at 263 (S1-024)	When an AuthZEN Access Evaluation response denies access and the denial is eligible for an access request, the PDP MAY include an `access_request` object in the Decision Context.
REQ-036	S1-013	Requestable Denial Context	229	keyword	PDP	-	PDP MUST include `context.access_request` only when the denied access is eligible for submission to an Access Request Endpoint	-	5	5	stay	yes	core	Eligibility rule, brief-flagged; second actor in S1-035	The presence of `context.access_request` is the signal that the denial is requestable. The PDP MUST include this object only when the denied access is eligible for submission to an Access Request Endpoint; the PEP MUST treat the absence of this object as a non-requestable denial regardless of any other context members.
REQ-037	S1-035	Requestable Denial Context	229	keyword	PEP	`context.access_request` absent from a denial	PEP MUST treat the absence as a non-requestable denial regardless of any other context members	-	5	5	stay	yes	core	Second actor of the unit at 229 (eligibility rules, brief-flagged); same src_lines and dest as S1-013	The presence of `context.access_request` is the signal that the denial is requestable.  The PDP MUST include this object only when the denied access is eligible for submission to an Access Request Endpoint; the PEP MUST treat the absence of this object as a non-requestable denial regardless of any other context members.
REQ-038	S1-063	Requestable Denial Context	231	keyword-free	Editor	-	Lead-in introducing the `access_request` member definition list	-	5	5	stay	no	non-normative	SECOND READER: introduces seven member entries of which `form_url` (248-249) and `request_schema_url` (251-252) move to 20; the plan already provides for a one-line pointer here	The `access_request` object has the following members:
REQ-039	S1-014	Requestable Denial Context	233-234	keyword	PEP	`endpoint` omitted from the `access_request` object	PEP MUST use the `access_request_endpoint` from PDP metadata	-	5	5	stay	no	core	OPTIONAL marks producer-side optionality and imposes no separate actor obligation, so no split row. Restated for the PEP at 1057	`endpoint`: : OPTIONAL. HTTPS URI. The endpoint to which the PEP submits the access request. If omitted, the PEP MUST use the `access_request_endpoint` from PDP metadata ({{discovery}}).
REQ-040	S1-015	Requestable Denial Context	236-237	keyword	PEP	`template` present in the requestable denial	PEP MUST NOT interpret the `template` value	Display or request submission	5	5	stay	no	core	-	`template`: : OPTIONAL. String. An opaque template identifier that can guide the Access Request Service. Implementations typically map `template` to a stable identifier of the approval workflow, request schema, governance policy, or categorical source code that applies to this denial. The value is not a policy language and MUST NOT be interpreted by the PEP except for display or request submission.
REQ-041	S1-016	Requestable Denial Context	239-240	keyword	PDP	A requestable denial is emitted	`expires_at` is REQUIRED in the `access_request` object	-	5	5	stay	yes	core	REQUIRED binds the PDP; the MUST-reject in the same entry binds the Access Request Service (S1-036)	`expires_at`: : REQUIRED. String containing an {{RFC3339}} timestamp. Indicates when the requestable denial hint expires. The PEP echoes this value as `denial.expires_at` when submitting the Access Request. The Access Request Service MUST reject submissions received after this time, after applying any clock-skew tolerance it has configured (see {{impl-considerations}}).
REQ-042	S1-036	Requestable Denial Context	239-240	keyword	ARS	Submission received after `denial.expires_at`	Access Request Service MUST reject the submission, after applying any clock-skew tolerance it has configured	Configured clock-skew tolerance ({{impl-considerations}})	5	5	stay	yes	core	Second actor of the `expires_at` entry. Plan Section 6 WITHDREW 240/400/1097 from consolidation because the clock-skew clause conditions the MUST-reject; do not re-open	`expires_at`: : REQUIRED.  String containing an {{RFC3339}} timestamp.  Indicates when the requestable denial hint expires.  The PEP echoes this value as `denial.expires_at` when submitting the Access Request.  The Access Request Service MUST reject submissions received after this time, after applying any clock-skew tolerance it has configured (see {{impl-considerations}}).
REQ-043	S1-017	Requestable Denial Context	242-243	keyword	PDP	`binding_token` emitted; REQUIRED when the Access Request Service is independent of the PDP	Value MUST be integrity protected, SHOULD be a PDP-signed JWS; JWE MAY be added for PEP-invisible payloads	OPTIONAL in same-service or shared-state deployments	5	5	stay	yes	core	Member definition stays whole in 5 under plan rule 4 even though its REQUIRED condition points at the binding-forms text; PEP obligations in S1-037	`binding_token`: : OPTIONAL in same-service or shared-state deployments, and REQUIRED when the Access Request Service is independent of the PDP (see the denial-binding forms below). String. Opaque context to be returned to the Access Request Service when submitting the access request. The PEP MUST NOT decode, modify, or interpret this value. The PEP returns it unchanged as `denial.binding_token` when submitting the Access Request ({{access-request-submission}}). When present, the value MUST be integrity protected in a way the Access Request Service can verify, and SHOULD be a JSON Web Signature (JWS) {{RFC7515}} in compact serialization, signed by the PDP, with a payload (such as a JWT {{RFC7519}}) that the Access Request Service can verify and bind to the original denied evaluation. JSON Web Encryption (JWE) {{RFC7516}} MAY be used in addition to integrity protection when the payload contains information that must not be visible to the PEP, for example by encrypting a signed payload.
REQ-044	S1-037	Requestable Denial Context	242-243	keyword	PEP	`binding_token` present in the requestable denial	PEP MUST NOT decode, modify, or interpret it, and returns it unchanged as `denial.binding_token`	-	5	5	stay	yes	core	Second actor of the `binding_token` entry; same src_lines and dest as S1-017	`binding_token`: : OPTIONAL in same-service or shared-state deployments, and REQUIRED when the Access Request Service is independent of the PDP.  String.  The PEP MUST NOT decode, modify, or interpret this value.  The PEP returns it unchanged as `denial.binding_token` when submitting the Access Request.  When present, the value MUST be integrity protected, and SHOULD be a JWS signed by the PDP.  JWE MAY be used in addition.
REQ-045	S1-018	Requestable Denial Context	245-246	keyword	PEP	`display` present in the requestable denial	PEP MAY ignore this member	-	5	5	stay	no	core	Brief: `display` stays in 5 while `form_url` and `request_schema_url` go to 20	`display`: : OPTIONAL. Object. Localizable user-interface hints such as title, description, or recommended call-to-action text. The PEP MAY ignore this member.
REQ-046	S1-019	Requestable Denial Context	248-249	keyword	Definition	-	OPTIONAL. HTTPS URI of a form where a human requester supplies additional information	-	20	20	move	no	feature	Plan Part II row: `form_url` definition to 20, one-line pointer left in 5. No RFC 2119 obligation beyond the OPTIONAL marker	`form_url`: : OPTIONAL. HTTPS URI. URL of a form, hosted by the Access Request Service or another service trusted by the deployment, where the requester can supply additional information required for the Access Request. Suitable for PEPs that render the form for a human user. See {{machine-readable-forms}}.
REQ-047	S1-020	Requestable Denial Context	251-252	keyword	ARS	Deployment publishes a machine-readable description of the submission augmentations	`request_schema_url` is RECOMMENDED to be a JSON Schema document	-	20	20	move	no	feature	Plan Part II row: `request_schema_url` definition to 20, one-line pointer left in 5	`request_schema_url`: : OPTIONAL. HTTPS URI. URL where the Access Request Service publishes a machine-readable description of the augmentations the PEP must add to the submission's `context` and `requested_access` objects. RECOMMENDED to be a JSON Schema {{I-D.bhutton-json-schema}} {{I-D.bhutton-json-schema-validation}} document. Suitable for autonomous PEPs and for PEPs that render forms natively against a schema. See {{machine-readable-forms}}.
REQ-048	S1-064	Requestable Denial Context	254	keyword-free	Definition	-	`context.reason` is the machine-readable Decision reason code, echoed by the PEP as `denial.reason`	AuthZEN treats Decision Context contents as implementation-defined	5	5	stay	no	definition	Brief-flagged and named by the plan Requestable Denial Context row as staying in 5. Keyword-free, so the script did not pre-populate it - added here	The Decision's reason (why the evaluation returned `false`) is conveyed in the Decision Context.  The AuthZEN Authorization API treats the contents of the Decision Context as implementation-defined; this profile uses `context.reason` as a machine-readable reason code, which the PEP echoes as `denial.reason` when submitting an Access Request.
REQ-049	S1-021	Requestable Denial Context	256	keyword	PDP	A requestable denial is emitted	PDP MUST provide denial-binding material; the denial MUST include `expires_at` and at least one of two binding forms	-	5	5	stay	no	core	COLLISION: plan sends 256-264 to 11; precedence rule 2 (Part I test) beats rule 3 (destination row) - a signed-artifact-only PDP needs this rule, so Part I is incomplete without it. SECOND READER: this paragraph ends in a colon introducing bullets 258 (dest 5) and 259 (dest 11); no precedence rule covers a split list - either 259 stays in 5 as a stub pointing to 11, or the lead-in is reworded in PR A2	The PDP MUST provide enough denial-binding material for the Access Request Service to verify that a submitted Access Request corresponds to the denied evaluation and is still fresh. A requestable denial MUST include `expires_at` and at least one of two denial-binding forms:
REQ-050	S1-022	Requestable Denial Context	258	keyword	PDP	Access Request Service does not share state with the PDP (independent topology)	`binding_token` is REQUIRED and MUST be self-contained, carrying Subject, Resource, Action, and Context by value	-	5	5	stay	no	core	COLLISION: plan sends 256-264 to 11; rule 2 wins. Section 3 states the signed form is presented first in the core and only the shared-state form is the Section 11 alternative. See split-list question on S1-021	- **`binding_token` (by value).** An integrity-protected token that protects or constrains the requestable-denial expiry. The PDP signs it and retains no state. This form works in any topology, and is REQUIRED when the Access Request Service does not share state with the PDP (an independent Access Request Service). For that independent topology the `binding_token` MUST be self-contained: it carries the denied Subject, Resource, Action, and authorization-relevant Context by value (inline or as a `binding_hash`) and the Access Request Service verifies it offline against the PDP's published key, per {{binding-token-integrity}}. A `binding_token` that only references shared state, for example one carrying `evaluation_id` alone, does not satisfy the independent-Access-Request-Service requirement.
REQ-051	S1-038	Requestable Denial Context	259	keyword-free	Definition	Same-service or shared-state deployments only	Defines the `evaluation_id` by-reference binding form resolved against shared state within a server-side binding window	A stateless PDP retains no decision state, so the form does not apply to an independent service	11	5	stay	no	alternative	Bullet 2 of the two-form list introduced at 256; keyword-free so the script skipped it. See the split-list question on S1-021 | A1 list rule: stays with its lead-in in 5; A2 moves it to 11 after rewording the lead-in	- **`evaluation_id` (by reference).**  A stable identifier ({{evaluation-identifier}}) that the Access Request Service resolves against state shared with, or delegated by, the PDP, within a server-side binding window.  This form applies only to same-service or shared-state deployments, because a stateless PDP retains no decision state for an independent service to fetch.
REQ-052	S1-023	Requestable Denial Context	261	keyword	PDP	Both binding forms available	PDP MAY emit both forms and MAY return a stable `context.evaluation_id` alongside a `binding_token`	-	11	5	stay	yes	alternative	Part I test applied: an Access Request Service that only ever uses `binding_token` is unaffected by the form-precedence sentence, so the unit is Part II. Second actor in S1-039 Disposition is split-row; the unit itself moves from 5's section to 11. | round 4: Section 11 is not created in A1; A1 placement 5, final 11 in A2	A PDP MAY emit both forms. When a `binding_token` is present it is the authoritative denial binding, and any accompanying `evaluation_id` serves only as a correlation and audit identifier rather than a second binding form; the Access Request Service resolves `evaluation_id` as a binding form only when no `binding_token` is present. This is why a PDP MAY follow the conformance recommendation to return a stable `context.evaluation_id` ({{evaluation-identifier}}) even when it also emits a `binding_token`.
REQ-053	S1-039	Requestable Denial Context	261	keyword	ARS	Both `binding_token` and `evaluation_id` present	Access Request Service resolves `evaluation_id` as a binding form only when no `binding_token` is present	`binding_token` is the authoritative binding; `evaluation_id` is then correlation and audit only	11	5	stay	yes	alternative	Second actor of the unit at 261; same src_lines and dest as S1-023 Disposition is split-row; the unit itself moves to 11. | round 4: Section 11 is not created in A1; A1 placement 5, final 11 in A2	A PDP MAY emit both forms.  When a `binding_token` is present it is the authoritative denial binding, and any accompanying `evaluation_id` serves only as a correlation and audit identifier rather than a second binding form; the Access Request Service resolves `evaluation_id` as a binding form only when no `binding_token` is present.
REQ-054	S1-024	Requestable Denial Context	263	keyword	PDP	Neither binding form available, or the Access Request Service cannot determine the binding is unexpired	PDP MUST NOT include `context.access_request` in the Decision Context	-	5	5	stay	no	core	COLLISION: plan sends 256-264 to 11; rule 2 keeps this unconditional PDP MUST NOT in Part I - it is an eligibility rule paired with 227 and 229. First sentence restates design goal 119; cross-reference, not a consolidation (different actor framing, no shared obligation)	The durable denial-binding record lives in the Access Request Service role, not the PDP. This is the denial-side mirror of the re-evaluation rule that requires `approval.state` when the PDP cannot resolve `approval.id` from shared or delegated state ({{completion-semantics}}). When neither binding form is available, or when the Access Request Service cannot determine that the binding is unexpired, the PDP MUST NOT include `context.access_request` in the Decision Context.
REQ-055	S1-065	Requestable Denial Context	265-288	keyword-free	Editor	-	Non-normative example of a requestable denial carrying evaluation_id, evaluated_at, reason, and access_request	-	5	5	stay	no	non-normative	TEXT vs PLAN: the example `binding_token` at 278 decodes to a payload of `evaluation_id` alone, which 258 says does not satisfy the independent-Access-Request-Service requirement; it also lacks the `aud` that 1174 marks REQUIRED and the `binding_context_members` that 153 requires. Plan Section 2 item 4 and register item G15 do not list this token. Reported, not fixed	The following is a non-normative example: ~~~ json { decision: false, context: { evaluation_id, evaluated_at, reason, access_request: { endpoint, template, expires_at, binding_token, form_url, request_schema_url, display } } } ~~~
REQ-056	S1-066	Requestable Denial Context	292	keyword-free	Definition	-	Defines `evaluation_id` as a first-class identifier for an evaluation, used to bind a submission to the denied evaluation	-	5	5	stay	no	definition	Anchor {#evaluation-identifier} sits on this subsection heading (290). Row split for the subsection is four rows to 5 (292, 294, 296, 304) and three to 11 (298, 300, 302), so the anchor follows the majority into 5, matching plan Section 7	This profile defines `evaluation_id` as a first-class identifier for an AuthZEN Authorization API evaluation, used by the Access Request Service to bind a submitted Access Request to the denied evaluation it remediates ({{access-request-submission}}).
REQ-057	S1-025	Requestable Denial Context	294	keyword	ARS	An approval record is created	Access Request Service SHOULD retain the original `evaluation_id` in the approval record for audit reconstruction	Re-evaluation is keyed by the `approval` object, not by `evaluation_id`	5	5	stay	no	core	Plan Evaluation Identifier row assigns 294 to 5	`evaluation_id` is also the audit thread that links a later re-evaluation back to the initial denied attempt that prompted the Access Request. Re-evaluation is keyed by the `approval` object rather than by `evaluation_id` ({{completion-semantics}}); nonetheless, the Access Request Service SHOULD retain the original `evaluation_id` in the approval record so the full sequence (denied evaluation, Access Request, approval, and re-evaluation) can be reconstructed for audit.
